rank	title	composer	category	year	stars
57	Cello Suites, BWV 1007-1012	Johann Sebastian Bach	String solo	1723	544
58	Water Music, HWV 348-350	George Frideric Handel	Unsorted Orchestral	1717	539
59	Violin Concerto No. 1 in A Minor, BWV 1041	Johann Sebastian Bach	Violin Concerto	1723	534
60	Double Violin Concerto in D Minor, BWV 1043	Johann Sebastian Bach	Violin Concerto	1723	529
61	Violin Concerto in D Major, Op. 77	Johannes Brahms	Violin Concerto	1878	526
62	La traviata	Giuseppe Verdi	Opera	1853	513
63	Carmina Burana	Carl Orff	Voice and Orchestra	1936	508
64	Violin Sonata No. 9 (Kreutzer), Op. 47	Ludwig van Beethoven	Violin Sonata	1804	507
65	Symphony No. 2 in C Minor (Resurrection)	Gustav Mahler	Symphony	1894	503
66	Symphonie fantastique, H 48	Hector Berlioz	Symphony	1830	498
67	Adagio for Strings	Samuel Barber	Unsorted Orchestral	1936	498
68	Der Ring des Nibelungen (The Ring of the Nibelung), WWV 86	Richard Wagner	Opera	1874	466
69	Violin Concerto No. 5 in A Major (The Turkish), K. 219	Wolfgang Amadeus Mozart	Violin Concerto	1775	458
70	Romeo and Juliet, Op. 64	Sergei Prokofiev	Ballet	1935	451
71	Symphony No. 4 in E Minor, Op. 98	Johannes Brahms	Symphony	1884	449
72	Ballade No. 4 in F Minor, Op. 52	Frédéric Chopin	Piano Sonata	1842	444
73	Große Fuge, Op. 133	Ludwig van Beethoven	String Quartet	1825	443
74	Piano Concerto No. 20 in D Minor, K. 466	Wolfgang Amadeus Mozart	Piano Concerto	1785	442
75	Peer Gynt, Op. 46, 55	Edvard Grieg	Unsorted Orchestral	1875	438
76	String Quartet No. 8 in C Minor, Op. 110	Dmitri Shostakovich	String Quartet	1960	432
77	Violin Concerto in D Major, Op. 61	Ludwig van Beethoven	Violin Concerto	1806	428
78	Violin Concerto in D Minor, Op. 47	Jean Sibelius	Violin Concerto	1905	424
79	Nocturnes (Trois Nocturnes), L. 91	Claude Debussy	Unsorted Orchestral	1899	421
80	Don Giovanni, K. 527	Wolfgang Amadeus Mozart	Opera	1787	419
81	Tristan und Isolde (Tristan and Isolde), WWV 90	Richard Wagner	Opera	1859	413
82	String Quartet No. 14 in D Minor (Death and the Maiden), D. 810	Franz Schubert	String Quartet	1824	409
83	Prélude à l'après-midi d'un faune (Prelude to the Afternoon of a Faun), L. 86	Claude Debussy	Symphonic Poem	1894	403
84	Also sprach Zarathustra (Thus Spoke Zarathustra), Op. 30	Richard Strauss	Symphonic Poem	1896	398
85	Symphony No. 25 in G Minor, K. 183/173dB	Wolfgang Amadeus Mozart	Symphony	1773	396
86	Piano Concerto No. 2 in B-flat Major, Op. 83	Johannes Brahms	Piano Concerto	1881	395
87	Ave Maria	Charles Gounod	Choral orchestral	1853	391
88	Tannhäuser, WWV 70	Richard Wagner	Opera	1845	387
89	Piano Sonata No. 32 in C Minor, Op. 111	Ludwig van Beethoven	Piano Sonata	1822	387
90	String Quartet No. 14 in C-sharp Minor, Op. 131	Ludwig van Beethoven	String Quartet	1826	386
91	La bohème	Giacomo Puccini	Opera	1896	382
92	Slavonic Dances, 46 & 72	Antonín Dvořák	Unsorted Orchestral	1886	381
93	Violin Concerto No. 1 in G Minor, Op. 26	Max Bruch	Violin Concerto	1866	374
94	Symphony No. 2 in E Minor, Op. 27	Sergei Rachmaninoff	Symphony	1907	373
95	Piano Concerto No. 23 in A Major, K. 488	Wolfgang Amadeus Mozart	Piano Concerto	1786	372
96	Cello Sonata No. 1 in E Minor, Op. 38	Johannes Brahms	Cello Sonata	1865	360
97	Cello Concerto in E Minor, Op. 85	Edward Elgar	Cello Concerto	1919	358
98	Violin Concerto No. 2 in E Major, BWV 1042	Johann Sebastian Bach	Violin Concerto		355
99	Pavane pour une infante défunte (Pavane for a Dead Princess)	Maurice Ravel	Unsorted Orchestral	1899	354
